trailing_12m,next_month_ret,quintile,date,ticker
0.19035475909840072,0.010826440177851948,3,2022-02-01,VUKE.L
-0.17830338463738105,-0.020141949163087203,1,2022-02-01,XUKS.L
0.13267191958730007,0.03692503769182842,1,2022-02-01,UKRE.L
0.1196677167405864,0.00681931315690143,2,2022-03-01,ISF.L
-0.0033512059422570184,-0.01426480094389282,1,2022-03-01,VMID.L
0.15752622846263553,0.005472365529974654,2,2022-03-01,VUKG.L
0.15872184389732835,0.006781193490054349,3,2022-03-01,CUKX.L
0.1292526423486311,-0.03379685122748588,2,2022-03-01,XUKX.L
0.09843431604455932,-0.01028496562832526,1,2022-03-01,IUKD.L
0.1654630149008922,0.013430253002162829,3,2022-03-01,VUKE.L
-0.15706771267208874,-0.0034952989823646696,1,2022-03-01,XUKS.L
0.16081754773841217,-0.01657321187717442,3,2022-03-01,UKRE.L
0.083595441584293,0.010205321126759648,2,2022-04-01,ISF.L
-0.06542605648356314,-0.012108056272152612,1,2022-04-01,VMID.L
0.12151637984357411,0.009739316151175181,3,2022-04-01,VUKG.L
0.12229128170670256,0.01047747343212091,3,2022-04-01,CUKX.L
0.07746259015000811,0.008094768015794562,2,2022-04-01,XUKX.L
0.05485497210147572,0.0224719630918504,1,2022-04-01,IUKD.L
0.12324078021941354,0.009735100461322643,3,2022-04-01,VUKE.L
-0.1255386097160941,-0.012026076599680247,1,2022-04-01,XUKS.L
0.10093942027668024,-0.04550663007368039,2,2022-04-01,UKRE.L
0.08284085147668008,-0.06832370601552862,2,2022-05-01,ISF.L
-0.08373134200458754,-0.09428019345331529,1,2022-05-01,VMID.L
0.11904762050278661,-0.054609874695192406,3,2022-05-01,VUKG.L
0.12068393094289509,-0.05569545252555175,3,2022-05-01,CUKX.L
0.07361761894493046,-0.06386787476525313,2,2022-05-01,XUKX.L
0.055018035692389056,-0.09391800627467028,2,2022-05-01,IUKD.L
0.12071447009594793,-0.0720855554558889,3,2022-05-01,VUKE.L
-0.12454676440963519,0.053761602354976734,1,2022-05-01,XUKS.L
0.024310598406359185,-0.06914801028059148,1,2022-05-01,UKRE.L
0.018233854460009358,0.03722780286139238,2,2022-06-01,ISF.L
-0.149611844278,0.09481748221956776,1,2022-06-01,VMID.L
0.054421841224142176,0.038559538671554705,3,2022-06-01,VUKG.L
0.060379241516966164,0.033882352941176475,3,2022-06-01,CUKX.L
0.0027002327001650617,0.037334323403134695,2,2022-06-01,XUKX.L
